0
"[{'number': '202-333-1212', 'type': 'office', 'primary': True}, {'number': '202-333-9396', 'type': 'fax'}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '202-350-1446', 'type': 'mobile', 'primary': True}]"
"[{'number': '301-793-5700', 'type': 'mobile', 'primary': True}]"
"[{'number': None, 'type': '', 'primary': True}]"
"[{'number': '202-243-7700', 'type': 'office', 'primary': True}]"
"[{'number': '301-298-1001', 'type': 'office', 'primary': True}]"
"[{'number': '800-548-9080', 'type': 'home', 'primary': True}, {'number': '703-790-9090', 'type': 'office'}, {'number': '703-734-9460', 'type': 'fax'}]"
"[{'number': '202-759-7581', 'type': 'office', 'primary': True}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '202-386-6330', 'type': 'office', 'primary': True}]"
"[{'number': '866-667-1320', 'type': 'toll_free'}, {'number': '202-299-0424', 'type': 'office', 'primary': True}]"
"[{'number': '703-679-1700', 'type': 'home', 'primary': True}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '202-944-5000', 'type': 'office', 'primary': True}]"
"[{'number': '202-759-7581', 'type': 'office', 'primary': True}]"
"[{'number': '877-733-3469', 'type': 'home', 'primary': True}, {'number': '877-733-3469', 'type': 'fax'}]"
"[{'number': '703-573-2600', 'type': 'office', 'primary': True}, {'number': '800-603-7341', 'type': 'toll_free'}]"
"[{'number': '800-518-9288', 'type': 'office', 'primary': True}]"
"[{'number': '866-669-8169', 'type': 'office', 'primary': True}]"
"[{'number': '703-739-0523', 'type': 'home', 'primary': True}, {'number': '703-739-0523', 'type': 'fax'}]"
"[{'number': '703-671-1000', 'type': 'office', 'primary': True}]"
"[{'number': '703-824-4800', 'type': 'office', 'primary': True}, {'number': '703-824-4805', 'type': 'fax'}]"
"[{'number': '800-839-1295', 'type': 'office', 'primary': True}, {'number': '800-839-1295', 'type': 'office'}, {'number': '703-760-8880', 'type': 'office'}]"
"[{'number': '202-333-3320', 'type': 'office', 'primary': True}, {'number': '240-888-9495', 'type': 'mobile'}]"
"[{'number': '202-547-3525', 'type': 'office', 'primary': True}, {'number': '202-547-8462', 'type': 'fax'}]"
"[{'number': '202-243-7700', 'type': 'office', 'primary': True}]"
"[{'number': '703-573-2600', 'type': 'office', 'primary': True}, {'number': '800-603-7341', 'type': 'toll_free'}]"
"[{'number': '301-298-1001', 'type': 'office', 'primary': True}]"
"[{'number': '301-270-7026', 'type': 'office', 'primary': True}]"
"[{'number': '703-437-3800', 'type': 'office', 'primary': True}, {'number': '800-316-7355', 'type': 'toll_free'}]"
"[{'number': '202-518-8781', 'type': 'office', 'primary': True}]"
"[{'number': '703-277-2152', 'type': 'office', 'primary': True}]"
"[{'number': '703-522-0500', 'type': 'office', 'primary': True}, {'number': '800-760-7282', 'type': 'toll_free'}]"
