,client_display_flags
0,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': True, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
1,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
2,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
3,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
4,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
5,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
6,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': True, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
7,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
8,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
9,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
10,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
11,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
12,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
13,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
14,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': False, 'price_change': 0, 'is_co_broke_email': False, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
15,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
16,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
17,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
18,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
19,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
20,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
21,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
22,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
23,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': False, 'price_change': 0, 'is_co_broke_email': False, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
24,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': False, 'price_change': 0, 'is_co_broke_email': False, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
25,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
26,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': -1, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
27,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
28,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
29,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
30,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
31,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
32,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
33,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
34,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
35,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
