,0,1
0,0,"{'size': 3738, 'units': 'sqft'}"
1,1,"{'size': 2386, 'units': 'sqft'}"
2,2,"{'size': 800, 'units': 'sqft'}"
3,3,"{'size': 1024, 'units': 'sqft'}"
4,4,"{'size': 2828, 'units': 'sqft'}"
5,5,"{'size': 1021, 'units': 'sqft'}"
6,6,"{'size': 940, 'units': 'sqft'}"
7,7,"{'size': 4701, 'units': 'sqft'}"
8,8,"{'size': 1844, 'units': 'sqft'}"
9,9,"{'size': 1716, 'units': 'sqft'}"
10,10,"{'size': 972, 'units': 'sqft'}"
11,11,"{'size': 1144, 'units': 'sqft'}"
12,12,"{'size': 1037, 'units': 'sqft'}"
13,13,"{'size': 1836, 'units': 'sqft'}"
14,14,"{'size': 850, 'units': 'sqft'}"
15,15,"{'size': 1007, 'units': 'sqft'}"
16,16,"{'size': 2405, 'units': 'sqft'}"
17,17,"{'size': 4738, 'units': 'sqft'}"
18,18,"{'size': 2200, 'units': 'sqft'}"
19,19,"{'size': 574, 'units': 'sqft'}"
20,20,"{'size': 1956, 'units': 'sqft'}"
21,21,"{'size': 1600, 'units': 'sqft'}"
22,22,"{'size': 3146, 'units': 'sqft'}"
23,23,"{'size': 3380, 'units': 'sqft'}"
24,24,"{'size': 2901, 'units': 'sqft'}"
25,25,"{'size': 805, 'units': 'sqft'}"
26,26,"{'size': 1729, 'units': 'sqft'}"
27,27,"{'size': 1209, 'units': 'sqft'}"
28,28,"{'size': 2128, 'units': 'sqft'}"
29,29,"{'size': 3408, 'units': 'sqft'}"
30,30,"{'size': 2015, 'units': 'sqft'}"
31,31,"{'size': 1120, 'units': 'sqft'}"
32,32,"{'size': 1377, 'units': 'sqft'}"
33,33,"{'size': 2573, 'units': 'sqft'}"
34,34,"{'size': 2496, 'units': 'sqft'}"
35,35,"{'size': 2103, 'units': 'sqft'}"
36,36,"{'size': 2450, 'units': 'sqft'}"
37,37,"{'size': 2867, 'units': 'sqft'}"
38,38,"{'size': 3827, 'units': 'sqft'}"
39,39,"{'size': 3576, 'units': 'sqft'}"
40,40,"{'size': 1525, 'units': 'sqft'}"
41,41,"{'size': 1446, 'units': 'sqft'}"
42,42,"{'size': 1808, 'units': 'sqft'}"
43,43,"{'size': 825, 'units': 'sqft'}"
44,44,"{'size': 1600, 'units': 'sqft'}"
45,45,"{'size': 1846, 'units': 'sqft'}"
46,46,"{'size': 1963, 'units': 'sqft'}"
47,47,"{'size': 2561, 'units': 'sqft'}"
