,prop_type,year_built,beds,baths_full,garage,baths_half,price,baths,rank,photo_count,state_code,Property Size(Sq. Ft),Alexandria,Arlington,Brentwood,Capitol Heights,District Heights,Falls Church,Hyattsville,Landover,McLean,Mount Rainier,Suitland,Takoma Park,Temple Hills,University Park,Washington,Time
0,1,2016,2,2,1,0,675000,2,7,37,1,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144.0
1,1,1963,2,1,0,1,387000,2,10,19,2,2847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
2,1,1929,2,1,0,0,511300,1,20,22,1,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.0
3,2,1956,4,2,0,0,535000,2,27,27,2,2100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0
4,1,1927,2,2,0,1,595000,3,37,44,1,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.0
5,1,2011,3,3,1,1,787500,4,4,31,1,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.0
6,2,1967,4,3,0,0,565000,3,39,33,2,1062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0
7,2,1749,4,3,0,1,1800000,4,41,44,2,3900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0
8,2,1970,5,2,2,1,650000,3,35,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
9,2,1979,4,2,1,2,895000,4,20,52,2,739,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
10,1,1961,2,1,0,1,315000,2,6,41,2,1600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0
11,1,1846,3,2,0,1,1115000,3,14,33,2,2044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0
12,1,2017,3,2,0,1,812000,3,31,31,1,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0
13,1,2020,3,3,0,1,1340000,4,2,42,1,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126.0
14,1,2005,3,2,0,0,584000,2,11,31,1,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.0
15,1,2014,3,3,1,1,475000,4,42,72,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47.0
16,1,1985,3,3,0,1,1049000,4,18,30,1,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.0
17,1,2001,3,2,1,1,530000,3,3,56,2,1846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
18,1,1974,1,1,0,1,259900,2,9,34,2,739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
19,1,1978,2,2,0,0,595000,2,9,31,1,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.0
20,2,1955,3,3,0,0,956000,3,17,49,2,585,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0
21,1,1954,3,1,0,1,250000,2,12,21,3,2923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,161.0
22,2,1941,3,2,0,0,642000,2,11,32,3,916,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.0
23,2,1940,3,1,0,0,854576,1,29,40,2,1328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
24,2,1953,3,3,1,0,965000,3,6,40,2,698,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.0
25,1,1949,3,2,0,0,576000,2,4,38,1,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0
26,1,2015,2,2,1,0,705000,2,1,35,1,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0
27,1,1908,1,1,0,0,475000,1,15,32,1,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.0
28,2,1935,3,2,0,0,1000000,2,3,6,1,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0
29,1,1984,2,2,0,0,221000,2,41,22,2,753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
30,1,1912,2,2,0,0,619900,2,12,26,1,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.0
31,2,2017,6,4,2,1,1575000,5,8,60,2,2688,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41.0
32,1,1905,4,4,0,1,1030000,5,23,52,1,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.0
33,2,1920,5,3,0,0,1080000,3,37,1,2,1924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
34,1,1937,2,2,0,0,395000,2,22,29,1,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0
35,1,1927,3,2,0,1,595000,3,28,35,1,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.0
36,1,2006,2,2,0,0,652500,2,27,36,2,1110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0
37,2,1965,4,3,1,0,850000,3,13,31,2,413,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0
38,1,2017,3,3,0,1,500000,4,36,25,1,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.0
39,1,1953,2,1,0,0,502500,1,25,31,2,1269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0
40,1,1924,1,1,0,0,411000,1,33,17,1,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.0
41,2,1925,4,3,0,1,1075000,4,30,45,3,3200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56.0
42,2,1930,3,2,2,0,645000,2,26,36,3,930,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.0
43,2,2015,4,3,1,1,1180000,4,35,29,2,2400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0
44,1,1941,2,2,0,0,530000,2,15,29,1,1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0
45,1,1962,0,1,0,0,255000,1,40,24,1,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0
46,2,1937,3,3,0,1,870000,4,43,42,2,727,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59.0
47,1,1977,2,2,1,0,680000,2,28,28,1,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71.0
48,1,2020,1,1,0,0,699900,1,29,42,1,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92.0
49,1,2020,0,1,0,0,399900,1,8,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
50,1,2020,1,1,0,0,621000,1,16,24,1,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.0
51,2,1917,3,1,0,1,475000,2,18,40,3,3305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60.0
52,1,1963,2,1,0,1,225000,2,41,29,2,2064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
53,1,1960,1,1,0,0,396000,1,22,16,1,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.0
54,2,2001,5,3,2,1,1022500,4,18,79,2,1824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0
55,1,1982,2,2,0,0,469000,2,41,50,2,804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0
56,1,1974,2,2,1,0,300000,2,5,40,2,1025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
57,1,1980,1,1,1,0,195500,1,17,37,2,2093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
58,1,1959,1,1,0,0,237500,1,3,17,1,2561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0
59,1,1979,3,2,1,1,395000,3,3,53,2,2358,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41.0
60,1,1980,3,2,1,1,430000,3,30,62,2,2728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.0
61,2,1951,5,3,1,0,629900,3,17,47,3,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.0
62,2,1954,5,2,0,0,440000,2,5,42,2,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0
63,1,2004,3,3,2,1,659900,4,38,33,2,1890,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0
64,1,1984,3,2,0,2,505000,4,13,30,2,1008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
65,1,2000,2,2,1,0,646000,2,38,36,2,772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0
66,2,1964,6,3,0,0,350000,3,19,23,3,643,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36.0
67,1,1978,2,1,0,1,205000,2,30,28,2,749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0
68,2,1951,3,2,0,0,550000,2,25,32,2,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35.0
69,1,1963,2,1,0,0,231000,1,5,33,2,2569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
70,1,1900,2,1,0,1,510000,2,21,48,1,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0
71,2,1948,3,1,0,1,380000,2,36,27,3,2830,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63.0
72,2,1940,4,2,0,0,990000,2,26,40,2,1148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0
73,1,1934,4,2,0,1,1125000,3,29,35,1,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0
74,1,1945,3,2,0,1,420000,3,32,21,1,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0
75,3,0,0,0,0,0,940000,0,20,33,2,2624,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,92.0
76,1,2000,3,3,2,1,780000,4,23,46,2,1820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0
77,1,1999,3,2,1,1,593000,3,16,47,2,1315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0
78,1,2000,3,2,1,2,750000,4,18,53,2,1118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
79,1,1983,2,1,0,0,430000,1,32,29,2,2655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
80,1,1922,4,2,0,2,1200000,4,1,30,1,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.0
81,1,1950,2,1,0,0,382000,1,38,24,2,814,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
82,1,1938,3,2,1,0,1057500,2,23,40,1,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0
83,2,1940,5,3,0,1,950000,4,34,32,2,1060,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
84,1,1977,1,1,0,0,495000,1,36,39,1,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.0
85,2,1949,3,2,0,0,698000,2,42,35,2,862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0
86,1,1962,3,2,0,0,204000,2,10,19,3,2843,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,299.0
87,1,1935,1,1,0,0,305000,1,11,28,1,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.0
88,1,1962,2,2,0,0,329900,2,34,30,1,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82.0
89,2,1966,5,3,2,1,1389900,4,24,64,2,2288,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49.0
